county_name,state_code,total_quakes,avg_mag,max_mag,severe_quakes
Pierce County,WA,3163,1.4042269998988295,3.6,0
Shelby County,TN,12,2.2691666666666666,3.03,0
Kern County,CA,7503,1.5489044382247057,5.03,1
Hidalgo County,TX,0,0,0,0
Macomb County,MI,0,0,0,0
El Paso County,TX,2,2.7,2.9,0
Worcester County,MA,14,1.8142857142857145,2.5,0
Middlesex County,NJ,61,1.7639344262295085,3.7,0
Montgomery County,PA,5,1.666,2.64,0
Fort Bend County,TX,0,0,0,0
Essex County,NJ,60,1.6628333333333332,2.95,0
Baltimore County,MD,8,1.75375,2.6,0
Ventura County,CA,3506,1.6682287507130666,5.08,1
San Francisco County,CA,6819,1.5081903504912872,4.46,0
Snohomish County,WA,2188,1.5139122486288799,4.58,0
Hamilton County,OH,0,0,0,0
Essex County,MA,21,1.834285714285714,2.7,0
Multnomah County,OR,1173,1.436475898766253,3.9,0
Oklahoma County,OK,2494,2.4870408981555734,4.5,0
Lee County,FL,0,0,0,0
San Joaquin County,CA,270,1.809037037037037,4.24,0
Suffolk County,MA,11,1.4545454545454546,2.3,0
Jefferson County,KY,1,2.78,2.78,0
Cobb County,GA,3,2.06,2.4,0
DeKalb County,GA,4,2.085,2.3,0
Polk County,FL,0,0,0,0
Monroe County,NY,8,1.66625,2.59,0
San Mateo County,CA,6300,1.521650793650801,3.98,0
El Paso County,CO,4,1.8250000000000002,2.4,0
Norfolk County,MA,7,1.7871428571428571,2.5,0
Jackson County,MO,0,0,0,0
Denver County,CO,1,2.9,2.9,0
Lake County,IL,2,2.5999999999999996,2.9,0
Hudson County,NJ,39,1.5584615384615381,2.6,0
Davidson County,TN,2,2.35,2.6,0
Will County,IL,0,0,0,0
Utah County,UT,523,1.5817973231357527,3.94,0
Bernalillo County,NM,4,2.825,3.5,0
Tulsa County,OK,457,1.3751859956236328,2.6,0
District of Columbia,DC,6,1.9349999999999998,2.3,0
Jefferson County,AL,40,2.5172499999999998,3.6,0
Providence County,RI,30,1.7489999999999999,3.3,0
Kent County,MI,0,0,0,0
Arapahoe County,CO,0,0,0,0
Montgomery County,TX,0,0,0,0
Ocean County,NJ,6,1.79,2.4,0
Bucks County,PA,8,2.0412500000000002,3.1,0
Williamson County,TX,1,2.9,2.9,0
Monmouth County,NJ,7,1.9128571428571426,3.1,0
Western Connecticut Planning Region,CT,18,1.546111111111111,2.6,0
Brevard County,FL,0,0,0,0
Johnson County,KS,0,0,0,0
Washington County,OR,688,1.5480377906976757,3.9,0
Anne Arundel County,MD,8,1.9037499999999998,2.6,0
Pasco County,FL,0,0,0,0
Douglas County,NE,0,0,0,0
Jefferson County,CO,3,2.5666666666666664,2.9,0
Bristol County,MA,20,1.9,3.6,0
Baltimore City,MD,11,1.8390909090909089,2.6,0
Delaware County,PA,9,1.8955555555555559,2.78,0
New Castle County,DE,3,2.026666666666667,2.78,0
Union County,NJ,211,1.6008530805687202,4.8,0
Volusia County,FL,0,0,0,0
South Central Connecticut Planning Region,CT,15,1.840666666666667,2.66,0
Dane County,WI,0,0,0,0
Lancaster County,PA,22,1.7118181818181817,3.37,0
Stanislaus County,CA,326,1.5982822085889576,4.53,0
Ramsey County,MN,0,0,0,0
Spokane County,WA,156,1.986730769230769,4,0
Guilford County,NC,8,2.16875,2.5,0
Chester County,PA,9,1.6388888888888888,2.64,0
Summit County,OH,4,2.825,3.7,0
Greenville County,SC,7,2.1671428571428573,2.4,0
Montgomery County,OH,0,0,0,0
Plymouth County,MA,9,1.9522222222222223,2.5,0
Sedgwick County,KS,128,2.4797656249999998,3.7,0
Adams County,CO,0,0,0,0
Camden County,NJ,8,1.6212499999999999,2.1,0
Passaic County,NJ,60,1.6165000000000005,2.95,0
Kane County,IL,3,3.1,3.8,0
Clark County,WA,1613,1.4027216367017927,3.9,0
Morris County,NJ,213,1.5787323943661968,4.8,0
Ada County,ID,1,2.2,2.2,0
Lake County,IN,0,0,0,0
Polk County,IA,0,0,0,0
Richmond County,NY,24,1.7070833333333333,3.1,0
Washoe County,NV,919,1.698269858541895,4.2,0
Knox County,TN,324,1.9979320987654337,3.37,0
Prince William County,VA,2,2.0300000000000002,2.04,0
Tulare County,CA,302,1.639999999999999,3.56,0
Seminole County,FL,0,0,0,0
Onondaga County,NY,4,1.425,1.8,0
Burlington County,NJ,11,1.6800000000000004,2.1,0
Hampden County,MA,2,2.62,3.3,0
York County,PA,36,1.7836111111111106,3.37,0
Virginia Beach City,VA,0,0,0,0
East Baton Rouge Parish,LA,1,3,3,0
Naugatuck Valley Planning Region,CT,10,1.6800000000000002,2,0
Solano County,CA,3245,1.6409522342064764,6.02,1
Pinal County,AZ,1,2.8,2.8,0
Sarasota County,FL,0,0,0,0
Santa Barbara County,CA,546,1.8810622710622706,4.8,0
Dakota County,MN,0,0,0,0
Monterey County,CA,10620,1.5456195856873842,5.29,1
Jefferson Parish,LA,0,0,0,0
Berks County,PA,24,1.5725000000000005,2.43,0
Lucas County,OH,5,2.5,2.7,0
Loudoun County,VA,4,2.485,3.6,0
Hillsborough County,NH,33,1.8424242424242423,2.8,0
Cameron County,TX,0,0,0,0
Clackamas County,OR,609,1.5169888821885316,3.96,0
Richland County,SC,125,1.9566400000000002,3.6,0
Manatee County,FL,0,0,0,0
Charleston County,SC,142,1.9819718309859151,3.6,0
Mobile County,AL,0,0,0,0
Placer County,CA,347,1.5614121037463968,4.4,0
St. Charles County,MO,4,2.6675,2.84,0
Waukesha County,WI,0,0,0,0
Osceola County,FL,0,0,0,0
Genesee County,MI,0,0,0,0
Orange County,NY,23,1.6734782608695653,2.4,0
Pulaski County,AR,2,2.175,2.23,0
Lake County,FL,0,0,0,0
Madison County,AL,22,2.2613636363636362,3.9,0
Butler County,OH,0,0,0,0
Allen County,IN,2,2.75,2.9,0
Marion County,FL,0,0,0,0
Collier County,FL,0,0,0,0
Forsyth County,NC,15,2.0313333333333334,2.6,0
Mercer County,NJ,9,1.8855555555555554,3.1,0
Lane County,OR,488,1.4325819672131141,4.14,0
Brazoria County,TX,0,0,0,0
Bell County,TX,0,0,0,0
Orleans Parish,LA,0,0,0,0
Lehigh County,PA,2,1.98,2.26,0
Stark County,OH,4,2.775,3,0
Chesterfield County,VA,11,2.212727272727273,2.77,0
Hamilton County,TN,198,1.9698484848484845,3,0
Horry County,SC,0,0,0,0
Washtenaw County,MI,0,0,0,0
Douglas County,CO,2,2.6500000000000004,3.1,0
Anoka County,MN,0,0,0,0
Davis County,UT,1261,1.5834417129262477,5.7,1
Larimer County,CO,1,2.3,2.3,0
Hamilton County,IN,0,0,0,0
Galveston County,TX,0,0,0,0
Westmoreland County,PA,1,2.9,2.9,0
Nueces County,TX,1,3.9,3.9,0
Rutherford County,TN,5,2.198,2.6,0
Marion County,OR,566,1.6253356890459367,3.96,0
St. Lucie County,FL,0,0,0,0
Somerset County,NJ,189,1.5877248677248677,4.8,0
Weld County,CO,30,2.0500000000000003,3.2,0
Rockland County,NY,56,1.5157142857142858,2.41,0
Spartanburg County,SC,6,2.1316666666666664,2.5,0
Cumberland County,NC,0,0,0,0
Henrico County,VA,21,2.253333333333333,3,0
Howard County,MD,14,1.8864285714285713,2.6,0
Durham County,NC,1,2.24,2.24,0
Boulder County,CO,3,2.1999999999999997,2.9,0
Greater Bridgeport Planning Region,CT,12,1.5075000000000003,2.6,0
Luzerne County,PA,0,0,0,0
Lancaster County,NE,0,0,0,0
Escambia County,FL,3,2.433333333333333,2.8,0
Fayette County,KY,7,2.4457142857142857,2.82,0
Rockingham County,NH,24,2.018333333333333,3,0
Northampton County,PA,8,2.0700000000000003,3.1,0
Albany County,NY,72,1.8119444444444446,3.15,0
Lubbock County,TX,1,2.6,2.6,0
Lorain County,OH,2,2.55,3,0
McHenry County,IL,4,2.9,3.8,0
Cumberland County,ME,22,1.9200000000000004,4.67,0
Gloucester County,NJ,6,1.928333333333333,2.78,0
Greene County,MO,0,0,0,0
Lexington County,SC,20,1.877,2.9,0
Clayton County,GA,2,2.1799999999999997,2.26,0
Ottawa County,MI,0,0,0,0
Chatham County,GA,0,0,0,0
Cleveland County,OK,1167,1.8597857754927158,4.4,0
Dutchess County,NY,4,2.0525,2.6,0
Thurston County,WA,2153,2.3075197398978147,6.8,1
Leon County,FL,0,0,0,0
Benton County,AR,9,2.1444444444444444,2.6,0
St. Louis City,MO,14,2.3992857142857145,2.84,0
St. Johns County,FL,0,0,0,0
Anchorage Municipality,AK,4036,1.4931615460852334,5.1,2
York County,SC,7,2.0700000000000003,2.32,0
Dauphin County,PA,7,1.805714285714286,2.76,0
Merced County,CA,360,1.7361666666666662,3.74,0
Winnebago County,IL,0,0,0,0
Ingham County,MI,0,0,0,0
Alachua County,FL,0,0,0,0
San Luis Obispo County,CA,3032,1.5397427440633302,3.96,0
Frederick County,MD,5,2.096,3.6,0
Southeastern Connecticut Planning Region,CT,36,1.8049999999999997,3.3,0
Kitsap County,WA,3515,1.5021177795513299,4.67,0
Atlantic County,NJ,3,1.7433333333333334,2.4,0
Cherokee County,GA,1,2.17,2.17,0
St. Joseph County,IN,0,0,0,0
Washington County,MN,0,0,0,0
Buncombe County,NC,62,2.0774193548387103,3.7,0
Erie County,PA,1,2.14,2.14,0
Brown County,WI,0,0,0,0
St. Tammany Parish,LA,0,0,0,0
Webb County,TX,0,0,0,0
Weber County,UT,665,1.5036842105263142,3.67,0
Santa Cruz County,CA,8151,1.5390896822475733,4.9,0
Madison County,IL,6,2.3133333333333335,2.4,0
Cumberland County,PA,32,1.7496874999999994,3.44,0
McLennan County,TX,1,2.1,2.1,0
Harford County,MD,4,1.4175,1.83,0
Kalamazoo County,MI,1,4.2,4.2,0
Forsyth County,GA,9,2.1077777777777778,2.45,0
Marin County,CA,2409,1.5503071814030709,6.02,1
Yakima County,WA,555,1.5780900900900923,4.2,0
Hays County,TX,0,0,0,0
Clay County,MO,1,3.5,3.5,0
St. Clair County,IL,15,2.296,2.81,0
Williamson County,TN,3,2.266666666666667,2.6,0
Jefferson County,TX,0,0,0,0
Washington County,AR,2,2.2,2.3,0
Chesapeake City,VA,0,0,0,0
Sussex County,DE,0,0,0,0
Warren County,OH,0,0,0,0
Henry County,GA,3,2.3666666666666667,2.54,0
Lafayette Parish,LA,0,0,0,0
Union County,NC,13,2.103846153846154,2.41,0
Canyon County,ID,2,2.55,2.9,0
Yavapai County,AZ,6,2.9683333333333337,3.8,0
Baldwin County,AL,0,0,0,0
Berkeley County,SC,141,1.9867375886524823,3.6,0
Smith County,TX,1,2.2,2.2,0
Brazos County,TX,0,0,0,0
Saratoga County,NY,11,1.791818181818182,3.1,0
Arlington County,VA,6,1.9083333333333332,2.3,0
Norfolk City,VA,0,0,0,0
Tuscaloosa County,AL,14,2.6407142857142856,3.1,0
Caddo Parish,LA,12,2.891666666666666,3.5,0
Lake County,OH,68,2.34970588235294,4,0
Gaston County,NC,6,1.9816666666666667,2.26,0
Cabarrus County,NC,3,1.9166666666666667,2.2,0
New Hanover County,NC,0,0,0,0
Barnstable County,MA,3,2.1,2.5,0
Oneida County,NY,2,1.75,1.8,0
Linn County,IA,0,0,0,0
Whatcom County,WA,601,1.5331613976705505,4,0
Jefferson County,MO,31,2.3880645161290315,3.9,0
Montgomery County,TN,0,0,0,0
Richmond City,VA,25,2.2696,3,0
Montgomery County,AL,0,0,0,0
Mahoning County,OH,23,2.2013043478260865,4,0
Shelby County,AL,20,2.3200000000000003,3.6,0
Johnston County,NC,0,0,0,0
Clay County,FL,0,0,0,0
Jackson County,OR,297,1.6508080808080796,3.13,0
Hinds County,MS,0,0,0,0
Doña Ana County,NM,2,2.9,3,0
Delaware County,OH,0,0,0,0
Yolo County,CA,852,1.648215962441311,3.58,0
Mohave County,AZ,7,2.3000000000000003,2.8,0
Lackawanna County,PA,0,0,0,0
York County,ME,19,2.1121052631578947,4.67,0
Okaloosa County,FL,0,0,0,0
Niagara County,NY,21,1.8957142857142855,3.8,0
Benton County,WA,1283,1.4366968464646934,3.7,0
Clermont County,OH,2,2.4299999999999997,2.48,0
Washington County,PA,3,2.2800000000000002,2.5,0
Butte County,CA,896,1.8120535714285677,4.24,0
Harrison County,MS,0,0,0,0
Calcasieu Parish,LA,0,0,0,0
Onslow County,NC,0,0,0,0
Hall County,GA,6,2.148333333333333,2.45,0
Yuma County,AZ,3,2.3366666666666664,3.21,0
Anderson County,SC,10,2.1839999999999997,2.4,0
Elkhart County,IN,1,3,3,0
Champaign County,IL,1,2.4,2.4,0
Richmond County,GA,23,2.0256521739130435,3.2,0
Muscogee County,GA,0,0,0,0
Ellis County,TX,32,2.5343750000000007,4,0
Deschutes County,OR,294,1.5881972789115644,3.1,0
Hernando County,FL,0,0,0,0
Trumbull County,OH,19,2.1536842105263156,4,0
Minnehaha County,SD,1,2.7,2.7,0
Sumner County,TN,1,2.1,2.1,0
St. Louis County,MN,215,2.8432558139534905,3.4,0
Broome County,NY,0,0,0,0
Racine County,WI,0,0,0,0
Butler County,PA,1,2.1,2.1,0
Sangamon County,IL,0,0,0,0
Livingston County,MI,1,1.8,1.8,0
Charlotte County,FL,0,0,0,0
Sarpy County,NE,0,0,0,0
Santa Rosa County,FL,6,2.6,3.8,0
El Dorado County,CA,50,1.5437999999999996,2.5,0
Beaufort County,SC,1,1.88,1.88,0
Iredell County,NC,11,1.9281818181818182,2.26,0
Outagamie County,WI,1,1.5,1.5,0
Washington County,UT,906,1.642097130242827,3.86,0
Cass County,ND,0,0,0,0
Saginaw County,MI,0,0,0,0
Johnson County,TX,63,2.500000000000001,4,0
DeSoto County,MS,3,2.1999999999999997,2.5,0
Tippecanoe County,IN,1,2.5,2.5,0
Boone County,MO,0,0,0,0
Kent County,DE,2,2.67,4.1,0
Newport News City,VA,0,0,0,0
Medina County,OH,3,2.6,3,0
Ulster County,NY,1,2.1,2.1,0
Shasta County,CA,2799,1.7336620221507684,4.43,0
Bay County,FL,0,0,0,0
Licking County,OH,0,0,0,0
Vanderburgh County,IN,14,2.6385714285714283,4.6,0
Peoria County,IL,0,0,0,0
Hendricks County,IN,1,3.6,3.6,0
Guadalupe County,TX,2,2,2.1,0
Shawnee County,KS,0,0,0,0
Kanawha County,WV,7,2.737142857142857,3.3,0
Kootenai County,ID,29,1.9596551724137936,3.3,0
Lee County,AL,0,0,0,0
Muskegon County,MI,0,0,0,0
Lower Connecticut River Valley Planning Region,CT,20,1.8379999999999999,2.66,0
Comal County,TX,2,2,2.1,0
Carroll County,MD,7,1.8157142857142858,2.6,0
Scott County,IA,0,0,0,0
Paulding County,GA,1,2.4,2.4,0
Alamance County,NC,5,2.21,2.33,0
Porter County,IN,0,0,0,0
Pitt County,NC,0,0,0,0
Aiken County,SC,12,2.0308333333333333,3.2,0
Midland County,TX,1319,1.6564063684609591,5.2,1
Winnebago County,WI,0,0,0,0
Davidson County,NC,19,2.099473684210526,2.6,0
McLean County,IL,0,0,0,0
Kent County,RI,31,1.7351612903225804,3.3,0
Kenton County,KY,1,2.19,2.19,0
Chittenden County,VT,5,1.8439999999999999,2.3,0
Pueblo County,CO,10,2.06,2.9,0
Charles County,MD,1,2.02,2.02,0
Greene County,OH,0,0,0,0
Kenosha County,WI,1,2.3,2.3,0
Monroe County,PA,0,0,0,0
Yellowstone County,MT,1,2.2,2.2,0
Wyandotte County,KS,1,3.5,3.5,0
Beaver County,PA,9,2.051111111111111,2.44,0
Houston County,GA,1,2.35,2.35,0
Maui County,HI,47,2.8585106382978727,4.7,0
Dorchester County,SC,142,1.9819718309859151,3.6,0
Johnson County,IN,1,3.8,3.8,0
Rock County,WI,0,0,0,0
Indian River County,FL,0,0,0,0
Olmsted County,MN,0,0,0,0
Ector County,TX,318,1.8792452830188686,3.7,0
Canadian County,OK,2114,1.621551561021758,3.91,0
Catawba County,NC,18,1.7994444444444444,2.35,0
Portage County,OH,5,2.8560000000000003,3.7,0
Fairfield County,OH,0,0,0,0
Kaufman County,TX,0,0,0,0
Stafford County,VA,2,2.27,2.5,0
Martin County,FL,0,0,0,0
Rensselaer County,NY,3,1.8333333333333333,1.9,0
Jackson County,MI,0,0,0,0
St. Clair County,MI,2,2.45,2.5,0
Sullivan County,TN,13,2.236153846153846,2.9,0
Columbia County,GA,35,2.3220000000000005,4.1,0
Schenectady County,NY,75,1.8165333333333338,3.15,0
Stearns County,MN,0,0,0,0
Ouachita Parish,LA,0,0,0,0
Madera County,CA,1373,1.8324690458849202,3.64,0
Citrus County,FL,0,0,0,0
Rankin County,MS,7,2.817142857142857,3.2,0
Parker County,TX,31,2.8516129032258055,3.7,0
Centre County,PA,3,1.2933333333333332,1.5,0
Mesa County,CO,23,1.8826086956521737,3.2,0
Alexandria City,VA,3,2.0399999999999996,2.3,0
Franklin County,PA,3,1.4966666666666668,1.82,0
Hampshire County,MA,3,2.48,3.3,0
Bibb County,GA,5,2.51,3.5,0
Santa Fe County,NM,6,3,3.5,0
Washington County,MD,3,2.143333333333333,3.03,0
Merrimack County,NH,64,1.8634374999999996,3.15,0
Monroe County,MI,3,2.6999999999999997,3.2,0
Johnson County,IA,0,0,0,0
Wilson County,TN,1,2.1,2.1,0
Penobscot County,ME,15,1.8733333333333337,3.3,0
Berrien County,MI,0,0,0,0
Scott County,MN,0,0,0,0
Cumberland County,NJ,4,2.41,4.1,0
Kings County,CA,3035,1.807466227347613,4.25,0
Sandoval County,NM,7,2.7142857142857144,3.5,0
Coweta County,GA,2,2.1550000000000002,2.21,0
Rowan County,NC,7,2.0571428571428574,2.58,0
Orange County,NC,1,2.24,2.24,0
Douglas County,GA,2,2.25,2.4,0
Brunswick County,NC,0,0,0,0
Livingston Parish,LA,1,3,3,0
Randolph County,NC,5,2.2800000000000002,2.58,0
Wright County,MN,0,0,0,0
Sussex County,NJ,33,1.6415151515151518,2.95,0
Coconino County,AZ,4,3.1,3.4,0
Jackson County,MS,0,0,0,0
Taylor County,TX,0,0,0,0
Spotsylvania County,VA,86,2.1761627906976746,5.8,1
Randall County,TX,20,2.235,3.3,0
Lebanon County,PA,18,1.626111111111111,3.37,0
Schuylkill County,PA,4,1.565,2.18,0
Rock Island County,IL,0,0,0,0
Grayson County,TX,6,2.3816666666666664,2.8,0
Monroe County,IN,0,0,0,0
Marathon County,WI,0,0,0,0
Blount County,TN,487,1.9079671457905543,4.1,0
Boone County,KY,1,2.19,2.19,0
Warren County,KY,0,0,0,0
Sumter County,FL,0,0,0,0
Hampton City,VA,0,0,0,0
Washington County,WI,0,0,0,0
Cache County,UT,772,1.5308160621761655,3.67,0
Florence County,SC,1,2.1,2.1,0
Harnett County,NC,0,0,0,0
Napa County,CA,5775,1.5723826839826878,6.02,1
Clark County,OH,0,0,0,0
Humboldt County,CA,2202,2.0555994550408703,5.4,2
Tangipahoa Parish,LA,0,0,0,0
Kendall County,IL,1,3.1,3.1,0
Washington County,TN,31,2.0829032258064513,2.79,0
Calhoun County,MI,2,3.75,4.2,0
Pickens County,SC,23,1.9956521739130435,2.43,0
Cambria County,PA,0,0,0,0
Wood County,OH,6,2.4833333333333334,2.7,0
Strafford County,NH,31,1.975806451612903,3,0
Madison County,IN,1,3.8,3.8,0
Black Hawk County,IA,0,0,0,0
Tazewell County,IL,0,0,0,0
Skagit County,WA,1207,1.4639436619718287,3.8,0
Washington County,RI,40,1.7925,3.3,0
Wichita County,TX,0,0,0,0
Linn County,OR,372,1.4648924731182784,4.39,0
Hunterdon County,NJ,182,1.5945604395604398,4.8,0
Clarke County,GA,4,2.165,2.41,0
Bossier Parish,LA,12,2.8674999999999997,3.5,0
Ascension Parish,LA,1,3,3,0
Rapides Parish,LA,0,0,0,0
Sebastian County,AR,0,0,0,0
Berkshire County,MA,0,0,0,0
Bonneville County,ID,73,1.6742465753424658,3.3,0
Fayette County,PA,0,0,0,0
Chautauqua County,NY,0,0,0,0
Berkeley County,WV,2,2.3049999999999997,3.03,0
Faulkner County,AR,1750,2.030891428571431,4.7,0
Saline County,AR,15,2.136666666666667,2.7,0
Kennebec County,ME,25,2.0283999999999995,3.5,0
Cochise County,AZ,0,0,0,0
Richland County,OH,0,0,0,0
Gregg County,TX,1,2.2,2.2,0
Morgan County,AL,10,2.275,2.69,0
Jasper County,MO,0,0,0,0
Clark County,IN,0,0,0,0
Gallatin County,MT,675,1.5078518518518513,3.6,0
Carroll County,GA,0,0,0,0
Blair County,PA,2,1.3399999999999999,1.5,0
Flagler County,FL,0,0,0,0
Comanche County,OK,65,1.571846153846154,3.8,0
San Juan County,NM,38,2.460526315789474,3.3,0
Allegan County,MI,0,0,0,0
Fayette County,GA,2,2.1799999999999997,2.26,0
La Crosse County,WI,0,0,0,0
Missoula County,MT,125,1.4838399999999994,3.7,0
Douglas County,KS,0,0,0,0
Tom Green County,TX,0,0,0,0
Lowndes County,GA,0,0,0,0
Oswego County,NY,3,2.1666666666666665,3.3,0
Sheboygan County,WI,0,0,0,0
Wayne County,NC,0,0,0,0
Henderson County,NC,27,2.1518518518518523,3,0
Rockwall County,TX,1,2.1,2.1,0
Robeson County,NC,1,3.7,3.7,0
Potter County,TX,52,2.544230769230769,3.9,0
Wayne County,OH,1,3,3,0
Calhoun County,AL,11,2.091818181818182,2.5,0
Jefferson County,NY,24,1.7458333333333333,3.6,0
Newton County,GA,3,2.3666666666666667,2.54,0
St. Mary's County,MD,0,0,0,0
Albemarle County,VA,2,2.6500000000000004,3.2,0
Lycoming County,PA,3,2.0933333333333333,2.6,0
Northwest Hills Planning Region,CT,3,1.7666666666666666,2,0
Ontario County,NY,0,0,0,0
Androscoggin County,ME,33,1.8666666666666667,3.5,0
LaPorte County,IN,0,0,0,0
Delaware County,IN,0,0,0,0
Craighead County,AR,134,1.7967910447761193,4.1,0
Pennington County,SD,3,2.733333333333333,3.1,0
Douglas County,OR,297,1.4338047138047136,2.25,0
Hanover County,VA,46,2.171521739130434,3,0
Cowlitz County,WA,11918,1.8433008894067875,4.3,0
Hardin County,KY,0,0,0,0
Bartow County,GA,4,2.19,2.72,0
Matanuska-Susitna Borough,AK,12533,1.4448815128062098,4.9,0
Madison County,MS,7,2.817142857142857,3.2,0
Warren County,NJ,187,1.6044919786096257,4.8,0
Mercer County,PA,12,2.0433333333333334,2.42,0
Bradley County,TN,213,1.9776525821596236,3.1,0
Miami County,OH,1,2.43,2.43,0
Cass County,MO,1,3.3,3.3,0
LaSalle County,IL,3,3.6333333333333333,4.2,0
Eaton County,MI,0,0,0,0
Platte County,MO,1,3.5,3.5,0
Carver County,MN,0,0,0,0
Flathead County,MT,219,1.5618721461187213,3.9,0
Yamhill County,OR,270,1.6838148148148153,3.6,0
St. Lawrence County,NY,31,1.6041935483870966,2.8,0
Navajo County,AZ,0,0,0,0
Houston County,AL,0,0,0,0
Limestone County,AL,18,2.2505555555555556,2.9,0
Terrebonne Parish,LA,0,0,0,0
Kankakee County,IL,0,0,0,0
Monongalia County,WV,0,0,0,0
Eau Claire County,WI,0,0,0,0
Vigo County,IN,1,1.98,1.98,0
Woodbury County,IA,0,0,0,0
Walworth County,WI,0,0,0,0
Franklin County,MO,4,2.55,2.9,0
Adams County,PA,32,1.7465624999999994,3.05,0
Hunt County,TX,0,0,0,0
Maury County,TN,4,2.15,2.6,0
Sumter County,SC,15,1.7013333333333336,2.24,0
Cecil County,MD,1,1.6,1.6,0
Dallas County,IA,0,0,0,0
Wicomico County,MD,0,0,0,0
Fond du Lac County,WI,0,0,0,0
Highlands County,FL,0,0,0,0
Bay County,MI,0,0,0,0
Etowah County,AL,10,2.169,3.2,0
Daviess County,KY,4,2.6849999999999996,3.03,0
Whitfield County,GA,203,2.0544334975369454,3.1,0
Tompkins County,NY,1,1.69,1.69,0
Moore County,NC,0,0,0,0
Macon County,IL,0,0,0,0
Nevada County,CA,591,1.6223181049069373,4.4,0
Bastrop County,TX,0,0,0,0
Allen County,OH,6,2.4499999999999997,2.9,0
Columbiana County,OH,14,2.207857142857143,3,0
Craven County,NC,0,0,0,0
Lancaster County,SC,19,2.0484210526315785,2.41,0
Laramie County,WY,0,0,0,0
DeKalb County,IL,3,3.1666666666666665,3.8,0
Grant County,WA,131,1.5860305343511445,3.3,0
Walton County,GA,0,0,0,0
Cleveland County,NC,0,0,0,0
Garland County,AR,9,2.3100000000000005,3.2,0
Sherburne County,MN,0,0,0,0
Montgomery County,VA,17,2.3694117647058826,3,0
Burleigh County,ND,0,0,0,0
Floyd County,GA,38,2.0502631578947366,2.72,0
Sutter County,CA,203,1.7983743842364528,3.26,0
Dubuque County,IA,0,0,0,0
Madison County,TN,2,2.245,2.4,0
Lenawee County,MI,0,0,0,0
Sevier County,TN,150,2.100400000000001,3.3,0
Marshall County,AL,17,2.257058823529412,3.9,0
Roanoke City,VA,8,2.29,3,0
Story County,IA,0,0,0,0
Liberty County,TX,0,0,0,0
Putnam County,NY,14,1.7450000000000003,2.6,0
Franklin County,WA,881,1.3786946651532357,3.7,0
Ashtabula County,OH,47,2.3270212765957443,3.9,0
Portsmouth City,VA,0,0,0,0
